date,original_series,diff,sqrt,inverse,log,squared,cubic,boxcox,yeo-johnson,MA25,MA50,EMA100,RSI
2010-10-14,0.105,-0.003,0.3193743884534262,9.803921568627452,-2.282782465697866,0.0104039999999999,0.4672328728355259,-1.9209584791254888,-1.7512752463464976,0.07020520000000001,0.0662456,0.06433882354431661,89.29831438651507
2010-10-15,0.101,0.003,0.324037034920393,9.523809523809524,-2.2537949288246137,0.0110249999999999,0.4717693980316532,-1.918049624443379,-1.7508510534674009,0.07177719999999999,0.0669896,0.06508458941472618,89.87951807228914
2010-10-16,0.102,-0.0039999999999999,0.3178049716414141,9.9009900990099,-2.2926347621408776,0.010201,0.4657009507803836,-1.9219446489666037,-1.7514168712942693,0.07349320000000001,0.0678096,0.0658749935847316,84.50679679330777
2010-10-17,0.1024,0.0009999999999999,0.3193743884534262,9.803921568627452,-2.282782465697866,0.0104039999999999,0.4672328728355259,-1.9209584791254888,-1.7512752463464976,0.0750272,0.0685296,0.06657053826622207,85.19538646927182
2010-10-18,0.097,0.0004,0.32,9.765625,-2.2788685663767296,0.01048576,0.4678428381140585,-1.9205663650643736,-1.7512186282395636,0.0766192,0.0692876,0.06727211176590084,85.24871355060034
2010-10-19,0.099,-0.0054,0.3114482300479487,10.309278350515465,-2.333044300478754,0.009409,0.4594700892207039,-1.92597627262424,-1.7519845128951923,0.0782228,0.0700556,0.06796771351311072,77.9874213836478
2010-10-20,0.107,0.002,0.3146426544510454,10.1010101010101,-2.312635428847547,0.009801,0.4626065009182742,-1.9239427443850068,-1.7517004633410171,0.0796148,0.0706962,0.06854261027522734,78.1897491821156
2010-10-21,0.1025,0.0079999999999999,0.3271085446759225,9.345794392523365,-2.234926444520231,0.0114489999999999,0.47474593985234,-1.9161503037720435,-1.7505688245798634,0.08109400000000001,0.0714762,0.06914572690344066,79.41176470588235
2010-10-22,0.1055,-0.0045,0.3201562118716424,9.75609756097561,-2.277892480403674,0.0105062499999999,0.4679950811570578,-1.920468544795657,-1.751204476556126,0.08289400000000001,0.0723582,0.06989531646970916,64.86229819563152
2010-10-23,0.115,0.003,0.3248076353782343,9.47867298578199,-2.249044326066016,0.01113025,0.4725170528451599,-1.9175718626422664,-1.7507804538526792,0.08450600000000001,0.0731402,0.07054095376733868,62.012320328542096
2010-10-24,0.132,0.0095,0.3391164991562634,8.695652173913043,-2.162823150618887,0.013225,0.4862944131094281,-1.9088492506806396,-1.7494444066587165,0.08625,0.0740332,0.0712332121085795,66.66666666666666
2010-10-25,0.1503,0.017,0.363318042491699,7.575757575757575,-2.0249533563957662,0.017424,0.5091643369659488,-1.8946968487454967,-1.7470785519497354,0.0883736,0.0750856,0.07209988117573633,76.05633802816902
2010-10-26,0.1877,0.0182999999999999,0.3876854394996025,6.653359946773121,-1.8951219822232084,0.0225900899999999,0.5316832682300531,-1.881135721913308,-1.7445666960215185,0.09117760000000001,0.0764936,0.07328602214255343,81.05381165919283
2010-10-27,0.1731,0.0374,0.4332435804486894,5.327650506126798,-1.672910335389674,0.03523129,0.5725605537164995,-1.8573876063695285,-1.7395413865413265,0.09471079999999998,0.0782676,0.07481105140705734,85.49356223175965
2010-10-28,0.19,-0.0146,0.4160528812542944,5.777007510109763,-1.7538858167999734,0.02996361,0.5573128062360843,-1.8661211222720984,-1.741486229324029,0.09976279999999998,0.08080159999999999,0.07704647613167007,77.75175644028103
2010-10-29,0.1989,0.0169,0.4358898943540673,5.2631578947368425,-1.6607312068216509,0.0361,0.5748897078944829,-1.856066070111652,-1.7392369400498084,0.10424240000000001,0.0830236,0.07894852610926076,79.92957746478874
2010-10-30,0.1925,0.0088999999999999,0.4459820624195552,5.027652086475616,-1.6149530931222105,0.03956121,0.583729436187447,-1.851080013835518,-1.7380637538971062,0.1093904,0.0856014,0.0811475651962061,83.3219877467665
2010-10-31,0.1955,-0.0063999999999999,0.4387482193696061,5.194805194805195,-1.647659125254298,0.03705625,0.5774001751457727,-1.8546453113960235,-1.7389066105479267,0.1148904,0.08834339999999999,0.08347929657845944,79.71109652002627
2010-11-01,0.1938,0.003,0.4421538193886828,5.115089514066496,-1.6321948995567166,0.03822025,0.5803842083742711,-1.8529614388909648,-1.7385110238826536,0.12007799999999999,0.09092019999999999,0.08563812238878699,80.05164622336991
2010-11-02,0.1931,-0.0017,0.4402272140611027,5.159958720330238,-1.640928579525471,0.03755844,0.5786970354589663,-1.8539128499978232,-1.7387350815546956,0.125218,0.09360020000000001,0.0878136051137615,82.010582010582
2010-11-03,0.23,-0.0007,0.4394314508543966,5.178663904712584,-1.6445470895476684,0.03728761,0.5779994492397859,-1.8543067192407603,-1.738827422749477,0.129496,0.09623240000000001,0.08991234560655831,81.38759172781855
2010-11-04,0.26,0.0369,0.4795831523312719,4.3478260869565215,-1.4696759700589417,0.0529,0.6126925675228417,-1.8350588234935208,-1.7340238821879763,0.133468,0.09885459999999999,0.09195566549553734,84.39597315436242
2010-11-05,0.39,0.03,0.5099019513592785,3.846153846153846,-1.3470736479666092,0.0676,0.6382504298859907,-1.8213008276193148,-1.7302117411894216,0.138808,0.1022466,0.09468921667384353,88.54625550660793
2010-11-06,0.34,0.13,0.6244997998398398,2.564102564102564,-0.941608539858445,0.1521,0.7306143574062804,-1.7742074201003406,-1.7145691845592046,0.145408,0.1062086,0.09796269753178723,92.93691518261394
2010-11-07,0.243,-0.0499999999999999,0.5830951894845301,2.941176470588235,-1.0788096613719298,0.1156,0.6979532046908885,-1.7904214670222398,-1.7204257417713371,0.15721200000000002,0.11282860000000001,0.10374561441234591,80.25820333512641
2010-11-08,0.21,-0.097,0.4929503017546495,4.11522633744856,-1.4146938356415886,0.059049,0.6240251469155712,-1.8289160309096,-1.732361954148449,0.166612,0.11840860000000002,0.10842391907744797,62.28419654714475
2010-11-09,0.24,-0.033,0.458257569495584,4.761904761904762,-1.5606477482646683,0.0440999999999999,0.5943921952763128,-1.8451265881940404,-1.7366113293192826,0.17225200000000002,0.12201459999999999,0.11108879196700346,56.39871382636655
2010-11-10,0.2231,0.03,0.4898979485566356,4.166666666666667,-1.4271163556401458,0.0576,0.6214465011907717,-1.8303077587375565,-1.732744104750581,0.17645200000000003,0.12497259999999999,0.11304742974983507,55.69592681333043
2010-11-11,0.2682,-0.0169,0.4723346271447817,4.482294935006723,-1.5001351775436502,0.0497736099999999,0.6065033305534433,-1.83844298178129,-1.7349123130128408,0.182012,0.1285196,0.11556134203201655,55.41829215431296
2010-11-12,0.276,0.0451,0.517880295048962,3.728560775540642,-1.316022308134559,0.07193124,0.6448909135870015,-1.8177814219123325,-1.7291837521457265,0.18685600000000002,0.1317376,0.11769082040762018,57.98611111111111
2010-11-13,0.279,0.0078,0.5253570214625479,3.623188405797101,-1.287354413264987,0.076176,0.6510830071526432,-1.814519524486092,-1.728211358198164,0.193488,0.1358554,0.12067120020152869,57.89150460593654
2010-11-14,0.2682,0.003,0.5282045058497703,3.584229390681003,-1.2765434971607714,0.077841,0.6534335077087573,-1.8132862746919327,-1.727838762003136,0.20064800000000002,0.1401314,0.1237470180193202,58.91568748711605
2010-11-15,0.223,-0.0108,0.517880295048962,3.728560775540642,-1.316022308134559,0.07193124,0.6448909135870015,-1.8177814219123325,-1.7291837521457265,0.207848,0.14447100000000002,0.12682133449418515,57.374721038750245
2010-11-16,0.2299,-0.0451999999999999,0.4722287581247038,4.484304932735426,-1.5005835075220182,0.049729,0.6064126994506962,-1.8384926933207508,-1.7349252214258564,0.21429600000000001,0.148595,0.12962091202895376,52.72184936614466
2010-11-17,0.2678,0.0068999999999999,0.479478883789474,4.349717268377556,-1.4701108472130011,0.05285401,0.6126037586264645,-1.8351072346884671,-1.7340367264364234,0.219116,0.151811,0.13147000287986557,53.39107998525617
2010-11-18,0.28,0.0378999999999999,0.5174939613174244,3.734129947722181,-1.317514845725065,0.0717168399999999,0.644570152074952,-1.8179509135431875,-1.7292337611666644,0.22409199999999999,0.155171,0.1334191117337296,53.476821192052974
2010-11-19,0.283,0.0122,0.5291502622129182,3.571428571428571,-1.272965675812887,0.0784,0.6542132620377179,-1.812877754723248,-1.7277147352894693,0.23020400000000002,0.1592888,0.1360801194221706,51.90186382655002
2010-11-20,0.2767,0.0029999999999999,0.5319774431308154,3.53356890459364,-1.2623083813388996,0.0800889999999999,0.6565414427346137,-1.8116597655832585,-1.72734316943086,0.236124,0.16365079999999999,0.13893001804747415,36.584754262788366
2010-11-21,0.2879,-0.0062999999999999,0.5260228131934964,3.614022406938923,-1.2848213921892568,0.07656289,0.6516329749597001,-1.8142307268168585,-1.7281243497362877,0.241432,0.16807139999999998,0.14178288897722713,41.087017741481276
